Team,Player,Age,Matches,GA90,Save%,CS%,PSXG+/-,Launched CMP% (40+ yards),CMP% (15-30 yards),CMP% (30+ yards),Launch% goal kicks,Defensive actions,Errors,Errors under pressure,Miscontrol,Rating
Real Betis,Adrián,37.0,19.0,1.42,65.8,15.8,-1.0,32.6,98.9,49.8,33.0,0.84,3,0,1,30
Tottenham Hotspur,Guglielmo Vicario,27.0,24.0,1.54,64.7,16.7,2.4,29.5,96.6,49.4,15.4,1.29,6,0,0,30
Fulham,Bernd Leno,32.0,38.0,1.42,67.9,13.2,-3.1,38.4,98.8,48.2,51.2,0.87,5,0,0,30
Bochum,Timo Horn,31.0,13.0,1.69,59.3,23.1,-3.5,38.9,99.0,43.8,90.8,1.38,2,0,1,30
Augsburg,Nediljko Labrović,24.0,15.0,2.13,60.8,13.3,-6.1,37.7,97.8,45.4,62.9,1.2,1,0,0,30
Lazio,Ivan Provedel,30.0,29.0,1.45,58.7,17.2,-8.5,39.0,99.1,56.3,59.4,1.1,3,0,0,30
Montpellier,Benjamin Lecomte,33.0,30.0,2.27,64.2,3.3,-5.7,39.4,96.7,48.8,56.0,0.9,2,0,1,30
Nantes,Alban Lafont,25.0,12.0,1.58,67.3,16.7,-0.2,28.0,100.0,38.4,66.7,0.5,1,0,0,29
Bologna,Federico Ravaglia,24.0,11.7,1.27,45.8,36.4,-2.3,34.8,99.1,47.9,44.7,0.77,0,0,0,29
Ipswich Town,Arijanet Muric,25.0,18.0,1.83,70.0,5.6,-1.6,33.2,97.3,40.6,75.5,1.11,5,1,3,29
Werder Bremen,Michael Zetterer,29.0,34.0,1.68,65.4,29.4,-1.1,36.2,98.5,54.3,33.6,1.0,7,0,1,29
Stuttgart,Alexander Nübel,27.0,34.0,1.56,62.5,20.6,-7.2,38.3,98.1,49.2,44.3,1.68,3,0,1,28
Manchester United,André Onana,28.0,34.0,1.29,68.9,26.5,1.0,26.8,99.1,36.6,65.8,0.68,4,0,1,27
Girona,Paulo Gazzaniga,32.0,35.5,1.44,65.7,22.2,-4.6,31.2,97.8,47.8,42.2,0.93,3,0,1,26
Wolverhampton Wanderers,José Sá,31.0,29.0,1.66,63.2,24.1,-3.2,24.6,97.0,31.1,52.7,1.48,1,0,1,26
Sevilla,Ørjan Nyland,33.0,29.7,1.34,67.9,24.1,-0.9,26.5,96.7,34.8,56.0,0.98,4,0,0,25
Rennes,Steve Mandanda,39.0,16.5,1.39,58.8,35.3,-4.0,33.9,96.8,43.3,50.7,1.27,2,1,2,24
Holstein Kiel,Timon Weiner,25.0,25.0,2.44,59.3,8.0,-11.8,37.6,98.7,44.2,64.1,0.72,3,0,0,23
Heidenheim,Kevin Müller,33.0,32.7,2.0,65.7,21.9,-4.7,35.5,98.6,49.5,38.4,0.61,4,0,2,23
Valladolid,Karl Jakob Hein,22.0,31.0,2.19,60.7,16.1,-8.2,36.5,99.0,45.9,64.7,1.1,2,0,3,23
Leicester City,Mads Hermansen,24.0,26.5,2.19,64.5,3.7,1.4,24.2,94.8,32.7,75.5,0.98,4,0,1,23
Toulouse,Guillaume Restes,19.0,28.3,1.33,62.0,29.6,-5.1,28.0,98.7,38.4,57.8,1.2,1,0,2,22
Brighton and Hove Albion,Bart Verbruggen,21.0,36.0,1.61,65.7,19.4,-5.0,31.6,98.3,45.8,67.5,1.31,5,0,2,22
Celta Vigo,Vicente Guaita,37.0,34.0,1.41,64.6,23.5,-7.4,30.0,98.6,52.2,36.5,1.29,3,1,3,22
Southampton,Aaron Ramsdale,26.0,30.0,2.2,67.6,10.0,-2.5,32.4,96.5,37.5,77.4,0.67,3,0,3,21
Empoli,Devis Vásquez,26.0,32.0,1.41,64.8,18.8,-4.8,28.8,97.1,36.8,65.3,0.47,4,0,2,15
Hellas Verona,Lorenzo Montipò,28.0,36.0,1.78,61.5,22.2,-12.2,29.2,98.4,32.9,88.9,0.64,4,0,1,12
