Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Lille,Benjamin André,fr FRA,MF,33.0,29.9,53,1.77,46,0,0,2,4,1,9,0.3,6,0,0,2,1,0
Lille,Jonathan David,ca CAN,FW,24.0,28.5,74,2.61,59,0,4,6,5,0,8,0.28,5,0,1,1,1,0
Lille,Thomas Meunier,be BEL,DF,32.0,21.5,37,1.73,32,0,1,3,1,0,7,0.33,4,0,1,2,0,0
Lille,Hákon Arnar Haraldsson,is ISL,MF,21.0,19.7,70,3.59,49,12,1,4,3,1,7,0.36,5,1,0,1,0,0
Lille,Gabriel Gudmundsson,se SWE,DF,25.0,20.0,30,1.51,23,2,1,2,2,0,0,0.0,0,0,0,0,0,0
Lille,Aïssa Mandi,dz ALG,DF,32.0,19.3,23,1.19,20,2,0,1,0,0,2,0.1,1,1,0,0,0,0
Lille,André Gomes,pt POR,MF,31.0,14.3,26,1.83,24,0,2,0,0,0,1,0.07,1,0,0,0,0,0
Lille,Ngal'Ayel Mukau,cd COD,MF,19.0,13.3,20,1.51,19,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Lille,Mitchel Bakker,nl NED,"FW,DF",24.0,12.7,40,3.13,28,8,2,1,1,0,4,0.31,2,1,0,0,1,0
Lille,Matias Fernandez-Pardo,be BEL,FW,19.0,11.9,30,2.54,17,7,2,1,1,2,6,0.51,3,0,1,0,1,1
Lille,Rémy Cabella,fr FRA,FW,34.0,11.3,60,5.33,36,11,2,6,4,1,6,0.53,2,1,0,1,2,0
Lille,Edon Zhegrova,xk KVX,FW,25.0,10.9,38,3.5,21,9,5,1,2,0,3,0.28,2,0,0,1,0,0
Lille,Ayyoub Bouaddi,fr FRA,MF,16.0,12.9,14,1.1,12,0,1,0,1,0,2,0.16,1,0,1,0,0,0
Lille,Osame Sahraoui,ma MAR,FW,23.0,14.5,67,4.66,57,1,5,3,1,0,6,0.42,5,0,0,1,0,0
Lille,Ismaily,br BRA,DF,34.0,10.1,24,2.39,18,1,1,4,0,0,1,0.1,0,0,0,1,0,0
Lille,Angel Gomes,eng ENG,MF,23.0,8.2,28,3.42,24,2,0,0,2,0,3,0.37,3,0,0,0,0,0
Lille,Chuba Akpom,eng ENG,FW,28.0,7.2,17,2.39,8,0,2,5,2,0,3,0.42,1,0,0,1,1,0
Lille,Tiago Santos,pt POR,DF,22.0,4.5,16,3.56,14,0,1,0,1,0,3,0.67,2,0,0,0,1,0
