Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
Manchester City,Stefan Ortega,de GER,GK,31.0,12,12,1080.0,12.2,18,1.5,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0
Chelsea,Robert Sánchez,es ESP,GK,26.0,32,32,2880.0,32.0,34,1.06,127,92,76.4,17,9,6,10,31.3,5,4,1,0,20.0
Chelsea,Filip Jørgensen,dk DEN,GK,22.0,6,6,540.0,6.0,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0
Newcastle United,Nick Pope,eng ENG,GK,32.0,28,28,2520.0,28.0,35,1.25,120,86,71.7,13,6,9,8,28.6,2,1,1,0,50.0
Newcastle United,Martin Dúbravka,sk SVK,GK,35.0,10,10,900.0,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,
Aston Villa,Emiliano Martínez,ar ARG,GK,31.0,37,37,3194.0,35.5,45,1.27,142,96,69.0,18,9,10,8,21.6,2,1,1,0,50.0
Aston Villa,Robin Olsen,se SWE,GK,34.0,4,1,226.0,2.5,6,2.39,14,8,64.3,1,0,0,1,100.0,1,1,0,0,0.0
Nottingham Forest,Matz Sels,be BEL,GK,32.0,38,38,3420.0,38.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0
Brighton and Hove Albion,Bart Verbruggen,nl NED,GK,21.0,36,36,3240.0,36.0,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0.0
Brighton and Hove Albion,Jason Steele,eng ENG,GK,33.0,2,2,180.0,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
Bournemouth,Kepa Arrizabalaga,es ESP,GK,29.0,31,31,2790.0,31.0,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0.0
Bournemouth,Mark Travers,ie IRL,GK,25.0,5,5,450.0,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,
Bournemouth,Neto,br BRA,GK,35.0,2,2,180.0,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,
Brentford,Mark Flekken,nl NED,GK,31.0,36,36,3240.0,36.4,55,1.53,203,150,73.4,16,8,13,7,19.4,1,1,0,0,0.0
Brentford,Hákon Rafn Valdimarsson,is ISL,GK,22.0,1,1,90.0,1.6,2,2.0,4,3,50.0,0,0,1,1,100.0,0,0,0,0,
Fulham,Bernd Leno,de GER,GK,32.0,38,38,3420.0,38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0
Crystal Palace,Dean Henderson,eng ENG,GK,27.0,38,38,3420.0,38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0
Everton,Jordan Pickford,eng ENG,GK,30.0,38,38,3420.0,38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0
West Ham United,Alphonse Areola,fr FRA,GK,31.0,25,25,2205.0,25.1,41,1.67,115,77,64.3,5,7,13,5,20.0,0,0,0,0,
West Ham United,Łukasz Fabiański,pl POL,GK,39.0,13,12,1125.0,12.9,21,1.68,71,50,74.6,6,3,4,2,16.7,3,3,0,0,0.0
Manchester United,André Onana,cm CMR,GK,28.0,34,34,3060.0,34.0,44,1.29,132,88,68.9,10,9,15,9,26.5,4,3,1,0,25.0
Manchester United,Altay Bayındır,tr TUR,GK,26.0,4,4,360.0,4.0,10,2.5,17,8,41.2,1,0,3,1,25.0,0,0,0,0,
Wolverhampton Wanderers,José Sá,pt POR,GK,31.0,29,29,2610.0,29.0,48,1.66,117,69,63.2,11,5,13,7,24.1,7,5,2,0,28.6
