Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Nice,Sofiane Diop,fr FRA,MF,24.0,11.9,6,22,11,50.0,1.85,0.93,0.27,0.55,16.4,3,0,0,6.0,6.0,0.27,0.0,0.0
Nice,Antoine Mendy,sn SEN,DF,20.0,9.2,0,9,1,11.1,0.98,0.11,0.0,0.0,14.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Nice,Tom Louchet,fr FRA,DF,21.0,8.7,1,12,4,33.3,1.39,0.46,0.08,0.25,20.0,1,0,0,0.8,0.8,0.07,0.2,0.2
Nice,Morgan Sanson,fr FRA,MF,29.0,2.6,3,9,4,44.4,3.42,1.52,0.33,0.75,16.6,0,0,0,1.5,1.5,0.17,1.5,1.5
Nice,Youssoufa Moukoko,de GER,FW,19.0,2.3,2,6,2,33.3,2.62,0.87,0.33,1.0,11.6,0,0,0,2.2,2.2,0.37,-0.2,-0.2
Nice,Yael Nandjou,fr FRA,DF,19.0,1.7,0,1,0,0.0,0.58,0.0,0.0,,7.5,0,0,0,0.2,0.2,0.22,-0.2,-0.2
Nice,Bilal Brahimi,dz ALG,MF,24.0,0.9,0,1,1,100.0,1.17,1.17,0.0,0.0,23.0,1,0,0,0.0,0.0,0.04,0.0,0.0
Nice,Terem Moffi,ng NGA,FW,25.0,0.6,1,6,4,66.7,9.31,6.21,0.17,0.25,9.2,0,0,0,2.3,2.3,0.46,-1.3,-1.3
Nice,Amidou Doumbouya,fr FRA,DF,16.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nice,Victor Orakpo,ng NGA,FW,18.0,0.4,0,2,0,0.0,5.0,0.0,0.0,,10.4,0,0,0,0.3,0.3,0.16,-0.3,-0.3
Nice,Jordan Lotomba,ch SUI,MF,25.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nice,Issiaga Camara,gn GUI,MF,19.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nice,Rareş Ilie,ro ROU,MF,21.0,0.1,0,1,0,0.0,6.92,0.0,0.0,,16.3,0,0,0,0.0,0.0,0.04,0.0,0.0
Nice,Bernard Nguene,cm CMR,FW,17.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lille,Lucas Chevalier,fr FRA,GK,22.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lille,Bafodé Diakité,fr FRA,DF,23.0,30.7,4,16,7,43.8,0.52,0.23,0.25,0.57,8.3,0,0,0,2.3,2.3,0.15,1.7,1.7
Lille,Alexsandro Ribeiro,br BRA,DF,24.0,30.0,1,21,4,19.0,0.7,0.13,0.05,0.25,10.3,0,0,0,1.6,1.6,0.08,-0.6,-0.6
Lille,Benjamin André,fr FRA,MF,33.0,29.9,0,16,4,25.0,0.53,0.13,0.0,0.0,15.6,0,0,0,1.4,1.4,0.09,-1.4,-1.4
